====================
ITSM::(ARMA Forecast)
====================

                                             Approximate 95 Percent
                                               Prediction Bounds
   Step     Prediction      sqrt(MSE)        Lower          Upper
     1        1.53498        1.00028        -.42553        3.49550
     2       -2.46289        1.28092       -4.97344         .04766
     3        1.67590        2.14444       -2.52712        5.87892
     4       -1.77866        2.38684       -6.45678        2.89945
     5        1.46562        2.66841       -3.76438        6.69562
     6       -1.38664        2.83212       -6.93750        4.16421
     7        1.21419        2.97669       -4.62001        7.04838
     8       -1.10966        3.08067       -7.14766        4.92833
     9         .99025        3.16593       -5.21486        7.19536
    10        -.89545        3.23178       -7.22961        5.43872
    11         .80379        3.28484       -5.63439        7.24197
    12        -.72447        3.32689       -7.24505        5.79611
    13         .65149        3.36071       -5.93539        7.23837
    14        -.58661        3.38778       -7.22654        6.05332
    15         .52782        3.40960       -6.15488        7.21051
    16        -.47510        3.42714       -7.19217        6.24197
    17         .42756        3.44130       -6.31726        7.17238
    18        -.38482        3.45272       -7.15202        6.38239
    19         .34633        3.46194       -6.43895        7.13160
    20        -.31170        3.46940       -7.11160        6.48820
    21         .28053        3.47542       -6.53117        7.09222
    22        -.25248        3.48030       -7.07374        6.56879
    23         .22723        3.48424       -6.60175        7.05620
    24        -.20450        3.48743       -7.03974        6.63073
    25         .18405        3.49001       -6.65624        7.02435
